ID,Name,Sex,PeoplesCount,WhenPeoplesCount,Source
19942,авашарфа,Ж,3,23.06.2016 13:44:51,myData.biz
19943,авашерфа,Ж,0,23.06.2016 13:44:58,myData.biz
19944,аващарфа,Ж,1,23.06.2016 13:45:06,myData.biz
19945,авгалифена,Ж,0,23.06.2016 13:45:14,myData.biz
19946,авгела,Ж,1,23.06.2016 13:45:22,myData.biz
19947,авгения,Ж,0,23.06.2016 13:45:30,myData.biz
19948,авгиння,Ж,3,23.06.2016 13:45:38,myData.biz
19949,авгусита,Ж,1,23.06.2016 13:45:46,myData.biz
19950,августа,Ж,13000,23.06.2016 13:45:55,myData.biz
19951,августина,Ж,5000,23.06.2016 13:46:03,myData.biz
19952,августиния,Ж,9,23.06.2016 13:46:11,myData.biz
19953,авдия,Ж,14,23.06.2016 13:46:20,myData.biz
19954,авдокия,Ж,4,23.06.2016 13:46:27,myData.biz
19955,авдоля,Ж,2,23.06.2016 13:46:34,myData.biz
19956,авдотия,Ж,21,23.06.2016 13:46:45,myData.biz
19957,авдотья,Ж,2000,23.06.2016 13:46:51,myData.biz
19958,авдоха,Ж,7,23.06.2016 13:46:58,myData.biz
19959,авелина,Ж,0,23.06.2016 13:47:06,myData.biz
19960,авелия,Ж,62,23.06.2016 13:47:15,myData.biz
19961,авеля,Ж,11,23.06.2016 13:47:23,myData.biz
19962,авенгилина,Ж,3,23.06.2016 13:47:30,myData.biz
19963,авенила,Ж,0,23.06.2016 13:47:38,myData.biz
19964,авения,Ж,5,23.06.2016 13:47:47,myData.biz
19965,авентина,Ж,7,23.06.2016 13:47:55,myData.biz
19966,авера,Ж,37,23.06.2016 13:48:03,myData.biz
19967,авереса,Ж,1,23.06.2016 13:48:10,myData.biz
19968,аверида,Ж,6,23.06.2016 13:48:19,myData.biz
19969,аверия,Ж,24,23.06.2016 13:48:27,myData.biz
19970,авета,Ж,0,23.06.2016 13:48:34,myData.biz
19971,аветлана,Ж,3,23.06.2016 13:48:43,myData.biz
19972,аветра,Ж,0,23.06.2016 13:48:50,myData.biz
19973,авза,Ж,308,23.06.2016 13:48:59,myData.biz
19974,авзаль,Ж,18,23.06.2016 13:49:08,myData.biz
19975,авиа,Ж,11000,23.06.2016 13:49:15,myData.biz
19976,авиада,Ж,2,23.06.2016 13:49:24,myData.biz
19977,авиана,Ж,14,23.06.2016 13:49:33,myData.biz
19978,авиата,Ж,0,23.06.2016 13:49:38,myData.biz
19979,авиатта,Ж,0,23.06.2016 13:49:46,myData.biz
19980,авигея,Ж,146,23.06.2016 13:49:55,myData.biz
19981,авиета,Ж,6,23.06.2016 13:50:03,myData.biz
19982,авизия,Ж,0,23.06.2016 13:50:10,myData.biz
19983,авила,Ж,3000,23.06.2016 13:50:19,myData.biz
19984,авилина,Ж,73,23.06.2016 13:50:27,myData.biz
19985,авина,Ж,225,23.06.2016 13:50:35,myData.biz
19986,авиона,Ж,2,23.06.2016 13:50:42,myData.biz
19987,авиреза,Ж,5,23.06.2016 13:50:51,myData.biz
19988,авиталь,Ж,176,23.06.2016 13:50:59,myData.biz
19989,авиша,Ж,7,23.06.2016 13:51:07,myData.biz
19990,авиэта,Ж,3,23.06.2016 13:51:15,myData.biz
19991,авия,Ж,114,23.06.2016 13:51:23,myData.biz
19992,авксения,Ж,1,23.06.2016 13:51:30,myData.biz
19993,авксентия,Ж,4,23.06.2016 13:51:38,myData.biz
19994,авлат,Ж,4,23.06.2016 13:51:46,myData.biz
19995,авлевтина,Ж,3,23.06.2016 13:51:54,myData.biz
19996,авлентина,Ж,5,23.06.2016 13:52:03,myData.biz
19997,авлина,Ж,7,23.06.2016 13:52:10,myData.biz
19998,авлора,Ж,7,23.06.2016 13:52:19,myData.biz
19999,авмрозия,Ж,1,23.06.2016 13:52:26,myData.biz
20000,авнда,Ж,1,23.06.2016 13:52:34,myData.biz
20001,авнендра,Ж,3,23.06.2016 13:52:42,myData.biz
20002,авнизия,Ж,0,23.06.2016 13:52:50,myData.biz
20003,аворика,Ж,5,23.06.2016 13:52:58,myData.biz
20004,авралия,Ж,0,23.06.2016 13:53:06,myData.biz
20005,аврамия,Ж,2,23.06.2016 13:53:14,myData.biz
20006,аврела,Ж,2,23.06.2016 13:53:22,myData.biz
20007,аврелия,Ж,555,23.06.2016 13:53:31,myData.biz
20008,аврелка,Ж,3,23.06.2016 13:53:40,myData.biz
20009,аврелька,Ж,4,23.06.2016 13:53:46,myData.biz
20010,авреля,Ж,9,23.06.2016 13:53:56,myData.biz
20011,авремия,Ж,2,23.06.2016 13:54:02,myData.biz
20012,аврийка,Ж,3,23.06.2016 13:54:11,myData.biz
20013,аврика,Ж,18,23.06.2016 13:54:19,myData.biz
20014,аврилия,Ж,7,23.06.2016 13:54:27,myData.biz
20015,аврилияна,Ж,1,23.06.2016 13:54:35,myData.biz
20016,авриль,Ж,19,23.06.2016 13:54:44,myData.biz
20017,авриля,Ж,0,23.06.2016 13:54:50,myData.biz
20018,авриния,Ж,1,23.06.2016 13:55:00,myData.biz
20019,авроза,Ж,2,23.06.2016 13:55:06,myData.biz
20020,аврония,Ж,1,23.06.2016 13:55:14,myData.biz
20021,авроня,Ж,0,23.06.2016 13:55:22,myData.biz
20022,аврора,Ж,66000,23.06.2016 13:55:31,myData.biz
20023,авросия,Ж,5,23.06.2016 13:55:38,myData.biz
20024,аврура,Ж,1,23.06.2016 13:55:46,myData.biz
20025,аврустина,Ж,3,23.06.2016 13:55:54,myData.biz
20026,авруся,Ж,1,23.06.2016 13:56:02,myData.biz
20027,авруца,Ж,0,23.06.2016 13:56:10,myData.biz
20028,аврыда,Ж,1,23.06.2016 13:56:19,myData.biz
20029,автандия,Ж,0,23.06.2016 13:56:26,myData.biz
20030,автелина,Ж,0,23.06.2016 13:56:34,myData.biz
20031,автолина,Ж,0,23.06.2016 13:56:42,myData.biz
20032,автомаска,Ж,1,23.06.2016 13:56:50,myData.biz
20033,автондия,Ж,2,23.06.2016 13:56:59,myData.biz
20034,автонина,Ж,12,23.06.2016 13:57:08,myData.biz
20035,авула,Ж,19,23.06.2016 13:57:15,myData.biz
20036,агаатэ,Ж,2,23.06.2016 13:57:22,myData.biz
20037,агавала,Ж,1,23.06.2016 13:57:31,myData.biz
20038,агавара,Ж,1,23.06.2016 13:57:38,myData.biz
20039,агавия,Ж,5,23.06.2016 13:57:46,myData.biz
20040,агавня,Ж,0,23.06.2016 13:57:54,myData.biz
20041,агагюль,Ж,10,23.06.2016 13:58:03,myData.biz
20042,агада,Ж,29,23.06.2016 13:58:13,myData.biz
20043,агаджума,Ж,8,23.06.2016 13:58:19,myData.biz
20044,агадия,Ж,3,23.06.2016 13:58:26,myData.biz
20045,агадпея,Ж,4,23.06.2016 13:58:34,myData.biz
20046,агалина,Ж,79,23.06.2016 13:58:43,myData.biz
20047,агалирза,Ж,1,23.06.2016 13:58:50,myData.biz
20048,агамерза,Ж,0,23.06.2016 13:58:58,myData.biz
20049,агамирза,Ж,74,23.06.2016 13:59:07,myData.biz
20050,аганда,Ж,5,23.06.2016 13:59:15,myData.biz
20051,аганета,Ж,14,23.06.2016 13:59:23,myData.biz
20052,аганиса,Ж,3,23.06.2016 13:59:31,myData.biz
20053,агания,Ж,4,23.06.2016 13:59:38,myData.biz
20054,аганя,Ж,20,23.06.2016 13:59:48,myData.biz
20055,агаория,Ж,0,23.06.2016 13:59:54,myData.biz
20056,агапея,Ж,4,23.06.2016 14:00:03,myData.biz
20057,агапи,Ж,264,23.06.2016 14:00:11,myData.biz
20058,агапия,Ж,0,23.06.2016 14:00:18,myData.biz
20059,агапка,Ж,12,23.06.2016 14:00:27,myData.biz
20060,агапья,Ж,3,23.06.2016 14:00:34,myData.biz
20061,агариза,Ж,11,23.06.2016 14:00:45,myData.biz
20062,агария,Ж,2,23.06.2016 14:00:50,myData.biz
20063,агарпена,Ж,0,23.06.2016 14:00:58,myData.biz
20064,агарпина,Ж,2,23.06.2016 14:01:06,myData.biz
20065,агарпына,Ж,0,23.06.2016 14:01:14,myData.biz
20066,агарпья,Ж,2,23.06.2016 14:01:23,myData.biz
20067,агарья,Ж,1,23.06.2016 14:01:30,myData.biz
20068,агасия,Ж,2,23.06.2016 14:01:38,myData.biz
20069,агастрия,Ж,0,23.06.2016 14:01:46,myData.biz
20070,агася,Ж,9,23.06.2016 14:01:55,myData.biz
20071,агат,Ж,0,23.06.2016 14:02:02,myData.biz
20072,агата,Ж,23000,23.06.2016 14:02:12,myData.biz
20073,агатина,Ж,64,23.06.2016 14:02:19,myData.biz
20074,агатия,Ж,1,23.06.2016 14:02:26,myData.biz
20075,агатья,Ж,3,23.06.2016 14:02:34,myData.biz
20076,агатя,Ж,0,23.06.2016 14:02:42,myData.biz
20077,агафа,Ж,22,23.06.2016 14:02:51,myData.biz
20078,агафена,Ж,7,23.06.2016 14:03:00,myData.biz
20079,агафения,Ж,0,23.06.2016 14:03:06,myData.biz
20080,агафея,Ж,0,23.06.2016 14:03:14,myData.biz
20081,агафиа,Ж,1,23.06.2016 14:03:22,myData.biz
20082,агафинья,Ж,1,23.06.2016 14:03:31,myData.biz
20083,агафия,Ж,217,23.06.2016 14:03:39,myData.biz
20084,агафония,Ж,10,23.06.2016 14:03:46,myData.biz
20085,агафоня,Ж,2,23.06.2016 14:03:54,myData.biz
20086,агафрина,Ж,2,23.06.2016 14:04:02,myData.biz
20087,агафья,Ж,2000,23.06.2016 14:04:11,myData.biz
20088,агафя,Ж,4,23.06.2016 14:04:19,myData.biz
20089,агаша,Ж,258,23.06.2016 14:04:27,myData.biz
20090,агаэса,Ж,1,23.06.2016 14:04:34,myData.biz
20091,агба,Ж,83,23.06.2016 14:04:43,myData.biz
20092,аггея,Ж,9,23.06.2016 14:04:51,myData.biz
20093,агголина,Ж,0,23.06.2016 14:04:58,myData.biz
20094,аггюль,Ж,7,23.06.2016 14:05:07,myData.biz
20095,агдия,Ж,4,23.06.2016 14:05:15,myData.biz
20096,агейла,Ж,1,23.06.2016 14:05:22,myData.biz
20097,агентина,Ж,1,23.06.2016 14:05:30,myData.biz
20098,агерпина,Ж,0,23.06.2016 14:05:38,myData.biz
20099,агжана,Ж,10,23.06.2016 14:05:47,myData.biz
20100,агжанать,Ж,0,23.06.2016 14:05:54,myData.biz
20101,агида,Ж,23,23.06.2016 14:06:04,myData.biz
20102,агиета,Ж,1,23.06.2016 14:06:10,myData.biz
20103,агилна,Ж,0,23.06.2016 14:06:18,myData.biz
20104,агиль,Ж,808,23.06.2016 14:06:27,myData.biz
20105,агиля,Ж,210,23.06.2016 14:06:35,myData.biz
20106,агина,Ж,146,23.06.2016 14:06:45,myData.biz
20107,агинтья,Ж,0,23.06.2016 14:06:50,myData.biz
20108,агиста,Ж,1,23.06.2016 14:06:59,myData.biz
20109,агита,Ж,60,23.06.2016 14:07:07,myData.biz
20110,агитина,Ж,2,23.06.2016 14:07:15,myData.biz
20111,агица,Ж,14,23.06.2016 14:07:23,myData.biz
20112,агия,Ж,100,23.06.2016 14:07:33,myData.biz
20113,аглаида,Ж,141,23.06.2016 14:07:39,myData.biz
20114,агланя,Ж,1,23.06.2016 14:07:46,myData.biz
20115,аглария,Ж,1,23.06.2016 14:07:55,myData.biz
20116,аглафира,Ж,17,23.06.2016 14:08:03,myData.biz
20117,аглая,Ж,3000,23.06.2016 14:08:11,myData.biz
20118,аглера,Ж,2,23.06.2016 14:08:18,myData.biz
20119,аглефия,Ж,0,23.06.2016 14:08:26,myData.biz
20120,аглея,Ж,4,23.06.2016 14:08:39,myData.biz
20121,агликерия,Ж,1,23.06.2016 14:08:43,myData.biz
20122,аглина,Ж,7,23.06.2016 14:08:50,myData.biz
20123,аглиулла,Ж,2,23.06.2016 14:08:58,myData.biz
20124,аглия,Ж,28,23.06.2016 14:09:09,myData.biz
20125,аглукерия,Ж,0,23.06.2016 14:09:14,myData.biz
20126,агля,Ж,6,23.06.2016 14:09:24,myData.biz
20127,агмесса,Ж,0,23.06.2016 14:09:30,myData.biz
20128,агнастасия,Ж,6,23.06.2016 14:09:38,myData.biz
20129,агне,Ж,73,23.06.2016 14:09:48,myData.biz
20130,агневна,Ж,1,23.06.2016 14:09:54,myData.biz
20131,агнежка,Ж,21,23.06.2016 14:10:03,myData.biz
20132,агнезия,Ж,1,23.06.2016 14:10:10,myData.biz
20133,агнейта,Ж,1,23.06.2016 14:10:18,myData.biz
20134,агнела,Ж,0,23.06.2016 14:10:26,myData.biz
20135,агнелия,Ж,10,23.06.2016 14:10:36,myData.biz
20136,агнес,Ж,476,23.06.2016 14:10:45,myData.biz
20137,агнеса,Ж,907,23.06.2016 14:10:51,myData.biz
20138,агнесия,Ж,28,23.06.2016 14:11:00,myData.biz
20139,агнеска,Ж,36,23.06.2016 14:11:07,myData.biz
20140,агнесс,Ж,157,23.06.2016 14:11:15,myData.biz
20141,агнесса,Ж,5000,23.06.2016 14:11:23,myData.biz
20142,агнессия,Ж,8,23.06.2016 14:11:31,myData.biz
20143,агнеста,Ж,2,23.06.2016 14:11:39,myData.biz
20144,агнет,Ж,66,23.06.2016 14:11:50,myData.biz
20145,агнета,Ж,261,23.06.2016 14:11:55,myData.biz
20146,агнетта,Ж,92,23.06.2016 14:12:03,myData.biz
20147,агнеш,Ж,14,23.06.2016 14:12:11,myData.biz
20148,агнеша,Ж,83,23.06.2016 14:12:19,myData.biz
20149,агнешка,Ж,564,23.06.2016 14:12:27,myData.biz
20150,агнея,Ж,0,23.06.2016 14:12:34,myData.biz
20151,агнийка,Ж,1,23.06.2016 14:12:43,myData.biz
20152,агнилина,Ж,0,23.06.2016 14:12:50,myData.biz
20153,агнисия,Ж,0,23.06.2016 14:12:58,myData.biz
20154,агнита,Ж,3,23.06.2016 14:13:06,myData.biz
20155,агнишка,Ж,1,23.06.2016 14:13:15,myData.biz
20156,агния,Ж,7000,23.06.2016 14:13:24,myData.biz
20157,агният,Ж,0,23.06.2016 14:13:30,myData.biz
20158,агнория,Ж,1,23.06.2016 14:13:38,myData.biz
20159,агнышка,Ж,0,23.06.2016 14:13:46,myData.biz
20160,аголина,Ж,0,23.06.2016 14:13:54,myData.biz
20161,аголлинария,Ж,0,23.06.2016 14:14:02,myData.biz
20162,агомогла,Ж,1,23.06.2016 14:14:10,myData.biz
20163,агонета,Ж,0,23.06.2016 14:14:18,myData.biz
20164,агонина,Ж,24,23.06.2016 14:14:27,myData.biz
20165,агорпина,Ж,1,23.06.2016 14:14:35,myData.biz
20166,агорпиния,Ж,0,23.06.2016 14:14:42,myData.biz
20167,агота,Ж,6,23.06.2016 14:14:50,myData.biz
20168,аготта,Ж,3,23.06.2016 14:14:59,myData.biz
20169,агофия,Ж,0,23.06.2016 14:15:06,myData.biz
20170,агофья,Ж,1,23.06.2016 14:15:14,myData.biz
20171,аградина,Ж,2,23.06.2016 14:15:23,myData.biz
20172,аграпина,Ж,3,23.06.2016 14:15:31,myData.biz
20173,аграппина,Ж,1,23.06.2016 14:15:38,myData.biz
20174,агратина,Ж,53,23.06.2016 14:15:47,myData.biz
20175,аграфена,Ж,2000,23.06.2016 14:15:55,myData.biz
20176,аграфения,Ж,2,23.06.2016 14:16:02,myData.biz
20177,аграфина,Ж,14,23.06.2016 14:16:11,myData.biz
20178,аграфиния,Ж,0,23.06.2016 14:16:18,myData.biz
20179,аграфинья,Ж,2,23.06.2016 14:16:26,myData.biz
20180,аграфия,Ж,1,23.06.2016 14:16:35,myData.biz
20181,аграфья,Ж,2,23.06.2016 14:16:42,myData.biz
20182,агрегина,Ж,0,23.06.2016 14:16:50,myData.biz
20183,агренина,Ж,42,23.06.2016 14:16:59,myData.biz
20184,агрепена,Ж,1,23.06.2016 14:17:06,myData.biz
20185,агрепина,Ж,158,23.06.2016 14:17:15,myData.biz
20186,агрепиния,Ж,0,23.06.2016 14:17:22,myData.biz
20187,агреппина,Ж,31,23.06.2016 14:17:32,myData.biz
20188,агрерина,Ж,2,23.06.2016 14:17:38,myData.biz
20189,агретина,Ж,2,23.06.2016 14:17:47,myData.biz
20190,агрефена,Ж,10,23.06.2016 14:17:57,myData.biz
20191,агрефина,Ж,2,23.06.2016 14:18:02,myData.biz
20192,агрефинья,Ж,0,23.06.2016 14:18:10,myData.biz
20193,агрикерия,Ж,0,23.06.2016 14:18:18,myData.biz
20194,агриколь,Ж,245,23.06.2016 14:18:27,myData.biz
20195,агрилина,Ж,0,23.06.2016 14:18:34,myData.biz
20196,агринина,Ж,0,23.06.2016 14:18:42,myData.biz
20197,агринтина,Ж,0,23.06.2016 14:18:50,myData.biz
20198,агрипена,Ж,2,23.06.2016 14:18:58,myData.biz
20199,агрипигина,Ж,1,23.06.2016 14:19:06,myData.biz
20200,агрипина,Ж,406,23.06.2016 14:19:15,myData.biz
20201,агрипиния,Ж,2,23.06.2016 14:19:22,myData.biz
20202,агрипинна,Ж,4,23.06.2016 14:19:30,myData.biz
20203,агриппина,Ж,2000,23.06.2016 14:19:39,myData.biz
20204,агриса,Ж,1,23.06.2016 14:19:46,myData.biz
20205,агрифена,Ж,4,23.06.2016 14:19:55,myData.biz
20206,агрифина,Ж,7,23.06.2016 14:20:05,myData.biz
20207,агролина,Ж,0,23.06.2016 14:20:10,myData.biz
20208,агропина,Ж,2,23.06.2016 14:20:18,myData.biz
20209,агропиния,Ж,0,23.06.2016 14:20:34,myData.biz
20210,агроппина,Ж,2,23.06.2016 14:20:34,myData.biz
20211,агрофена,Ж,75,23.06.2016 14:20:44,myData.biz
20212,агрофения,Ж,1,23.06.2016 14:20:50,myData.biz
20213,агрофина,Ж,8,23.06.2016 14:20:59,myData.biz
20214,агрофиния,Ж,2,23.06.2016 14:21:06,myData.biz
20215,агрулина,Ж,1,23.06.2016 14:21:14,myData.biz
20216,агруния,Ж,0,23.06.2016 14:21:22,myData.biz
20217,агтета,Ж,2,23.06.2016 14:21:30,myData.biz
20218,агунда,Ж,642,23.06.2016 14:21:39,myData.biz
20219,агуя,Ж,2,23.06.2016 14:21:46,myData.biz
20220,агустина,Ж,16,23.06.2016 14:21:55,myData.biz
20221,агфия,Ж,0,23.06.2016 14:22:02,myData.biz
20222,агха,Ж,7,23.06.2016 14:22:11,myData.biz
20223,агэля,Ж,0,23.06.2016 14:22:18,myData.biz
20224,агэта,Ж,0,23.06.2016 14:22:28,myData.biz
20225,ада,Ж,25000,23.06.2016 14:22:35,myData.biz
20226,адаа,Ж,39,23.06.2016 14:22:44,myData.biz
20227,адавие,Ж,9,23.06.2016 14:22:51,myData.biz
20228,адавият,Ж,7,23.06.2016 14:22:59,myData.biz
20229,адавье,Ж,2,23.06.2016 14:23:07,myData.biz
20230,адаида,Ж,4,23.06.2016 14:23:15,myData.biz
20231,адаиль,Ж,0,23.06.2016 14:23:22,myData.biz
20232,адай,Ж,3000,23.06.2016 14:23:31,myData.biz
20233,адалаида,Ж,19,23.06.2016 14:23:39,myData.biz
20234,адалиада,Ж,1,23.06.2016 14:23:46,myData.biz
20235,адалина,Ж,378,23.06.2016 14:23:55,myData.biz
20236,адалия,Ж,63,23.06.2016 14:24:05,myData.biz
20237,адаль,Ж,16,23.06.2016 14:24:11,myData.biz
20238,адальберта,Ж,1,23.06.2016 14:24:18,myData.biz
20239,адальмина,Ж,11,23.06.2016 14:24:27,myData.biz
20240,адальфина,Ж,1,23.06.2016 14:24:34,myData.biz
20241,адаля,Ж,9,23.06.2016 14:24:43,myData.biz
20242,адалят,Ж,594,23.06.2016 14:24:51,myData.biz
20243,адама,Ж,2000,23.06.2016 14:24:59,myData.biz
20244,адамина,Ж,89,23.06.2016 14:25:07,myData.biz
20245,адана,Ж,143000,23.06.2016 14:25:15,myData.biz
20246,адане,Ж,2,23.06.2016 14:25:23,myData.biz
20247,адария,Ж,5,23.06.2016 14:25:30,myData.biz
20248,адарья,Ж,3,23.06.2016 14:25:39,myData.biz
20249,адасия,Ж,0,23.06.2016 14:25:46,myData.biz
20250,адась,Ж,54,23.06.2016 14:25:58,myData.biz
20251,адаська,Ж,3,23.06.2016 14:26:02,myData.biz
20252,адася,Ж,5,23.06.2016 14:26:10,myData.biz
20253,адафия,Ж,1,23.06.2016 14:26:18,myData.biz
20254,адая,Ж,13,23.06.2016 14:26:30,myData.biz
20255,адвентина,Ж,6,23.06.2016 14:26:37,myData.biz
20256,адверка,Ж,0,23.06.2016 14:26:42,myData.biz
20257,адвина,Ж,7,23.06.2016 14:26:51,myData.biz
20258,адда,Ж,78,23.06.2016 14:26:59,myData.biz
20259,адделина,Ж,2,23.06.2016 14:27:06,myData.biz
20260,адеалаида,Ж,0,23.06.2016 14:27:14,myData.biz
20261,адеалида,Ж,1,23.06.2016 14:27:22,myData.biz
20262,адеалина,Ж,1,23.06.2016 14:27:30,myData.biz
20263,адебенга,Ж,1,23.06.2016 14:27:38,myData.biz
20264,адегбанга,Ж,0,23.06.2016 14:27:46,myData.biz
20265,адеелия,Ж,4,23.06.2016 14:27:55,myData.biz
20266,адеида,Ж,1,23.06.2016 14:28:02,myData.biz
20267,адеина,Ж,3,23.06.2016 14:28:11,myData.biz
20268,адей,Ж,51,23.06.2016 14:28:19,myData.biz
20269,адейла,Ж,1,23.06.2016 14:28:27,myData.biz
20270,адейля,Ж,1,23.06.2016 14:28:34,myData.biz
20271,адека,Ж,286,23.06.2016 14:28:43,myData.biz
20272,адела,Ж,416,23.06.2016 14:28:51,myData.biz
20273,аделада,Ж,0,23.06.2016 14:28:58,myData.biz
20274,аделае,Ж,1,23.06.2016 14:29:06,myData.biz
20275,аделаида,Ж,178000,23.06.2016 14:29:15,myData.biz
20276,аделаижа,Ж,2,23.06.2016 14:29:22,myData.biz
20277,аделаина,Ж,4,23.06.2016 14:29:30,myData.biz
20278,аделайда,Ж,25,23.06.2016 14:29:40,myData.biz
20279,аделанда,Ж,1,23.06.2016 14:29:47,myData.biz
20280,аделаыда,Ж,0,23.06.2016 14:29:54,myData.biz
20281,аделеида,Ж,0,23.06.2016 14:30:02,myData.biz
20282,аделея,Ж,1,23.06.2016 14:30:10,myData.biz
20283,адели,Ж,241,23.06.2016 14:30:19,myData.biz
20284,аделиада,Ж,12,23.06.2016 14:30:27,myData.biz
20285,аделида,Ж,10,23.06.2016 14:30:35,myData.biz
20286,аделина,Ж,36000,23.06.2016 14:30:43,myData.biz
20287,аделиня,Ж,1,23.06.2016 14:30:50,myData.biz
20288,аделия,Ж,4000,23.06.2016 14:30:59,myData.biz
20289,аделка,Ж,30,23.06.2016 14:31:07,myData.biz
20290,аделла,Ж,171,23.06.2016 14:31:15,myData.biz
20291,аделлаида,Ж,11,23.06.2016 14:31:23,myData.biz
20292,аделли,Ж,2,23.06.2016 14:31:30,myData.biz
20293,аделлинда,Ж,3,23.06.2016 14:31:38,myData.biz
20294,аделоида,Ж,8,23.06.2016 14:31:47,myData.biz
20295,адель,Ж,23000,23.06.2016 14:31:55,myData.biz
20296,адельвина,Ж,7,23.06.2016 14:32:03,myData.biz
20297,адельгайда,Ж,0,23.06.2016 14:32:10,myData.biz
20298,адельгейда,Ж,7,23.06.2016 14:32:21,myData.biz
20299,адельда,Ж,3,23.06.2016 14:32:27,myData.biz
20300,адельина,Ж,7,23.06.2016 14:32:35,myData.biz
20301,аделька,Ж,1000,23.06.2016 14:32:43,myData.biz
20302,адельмина,Ж,7,23.06.2016 14:32:50,myData.biz
20303,адельфина,Ж,91,23.06.2016 14:32:59,myData.biz
20304,адельфия,Ж,15,23.06.2016 14:33:07,myData.biz
20305,адельша,Ж,58,23.06.2016 14:33:15,myData.biz
20306,адельши,Ж,0,23.06.2016 14:33:22,myData.biz
20307,аделья,Ж,359,23.06.2016 14:33:31,myData.biz
20308,аделя,Ж,20000,23.06.2016 14:33:39,myData.biz
20309,аделяна,Ж,22,23.06.2016 14:33:47,myData.biz
20310,адемина,Ж,3,23.06.2016 14:33:54,myData.biz
20311,адемия,Ж,32,23.06.2016 14:34:03,myData.biz
20312,адена,Ж,215,23.06.2016 14:34:15,myData.biz
20313,аденаида,Ж,1,23.06.2016 14:34:18,myData.biz
20314,аденда,Ж,2,23.06.2016 14:34:26,myData.biz
20315,аденола,Ж,0,23.06.2016 14:34:34,myData.biz
20316,адепя,Ж,1,23.06.2016 14:34:43,myData.biz
20317,адерике,Ж,0,23.06.2016 14:34:50,myData.biz
20318,адеринсола,Ж,0,23.06.2016 14:34:58,myData.biz
20319,адериту,Ж,4,23.06.2016 14:35:07,myData.biz
20320,адерми,Ж,0,23.06.2016 14:35:14,myData.biz
20321,адерша,Ж,2,23.06.2016 14:35:23,myData.biz
20322,адесина,Ж,0,23.06.2016 14:35:30,myData.biz
20323,адеслава,Ж,0,23.06.2016 14:35:38,myData.biz
20324,адетта,Ж,19,23.06.2016 14:35:47,myData.biz
20325,адефтина,Ж,2,23.06.2016 14:35:54,myData.biz
20326,адешина,Ж,16,23.06.2016 14:36:03,myData.biz
20327,адея,Ж,35,23.06.2016 14:36:12,myData.biz
20328,аджана,Ж,8,23.06.2016 14:36:19,myData.biz
20329,аджелина,Ж,13,23.06.2016 14:36:27,myData.biz
20330,аджика,Ж,91,23.06.2016 14:36:35,myData.biz
20331,аджир,Ж,5,23.06.2016 14:36:42,myData.biz
